Time (s),Position X (m),Position Y (m),Velocity (m/s),Heading,Yawrate,Length (m),Width (m),Vehicle Number,Agent_Type,Vx,Vy,Ax,Ay,V_lon,V_lat,A_lon,A_lat,2_Position X (m),2_Position Y (m),2_Velocity (m/s),2_Heading,2_Yawrate,2_Length (m),2_Width (m),2_Vehicle Number,2_Agent_Type,2_Vx,2_Vy,2_Ax,2_Ay,2_V_lon,2_V_lat,2_A_lon,2_A_lat
462.3,12.191,37.898,4.421,-1.225,0.0646,1.684,0.881,180,motorcycle,1.349,-4.21,2.014,1.082,4.418,-0.157,-0.335,2.262,53.338,19.855,7.899,-3.128,0.0,4.6,1.699,181,car,-7.899,-0.11,0.01,0.006,7.899,-0.0,-0.011,-0.006
462.4,12.406,37.512,4.385,-1.173,0.0717,1.684,0.881,180,motorcycle,1.546,-4.104,1.978,1.064,4.385,-0.077,-0.259,2.231,52.538,19.85,7.888,-3.128,0.0,4.6,1.699,181,car,-7.887,-0.109,0.074,0.006,7.888,-0.0,-0.074,-0.005
462.5,12.61,37.123,4.362,-1.148,0.0847,1.684,0.881,180,motorcycle,1.727,-4.006,1.86,1.005,4.361,0.083,-0.226,2.102,51.74,19.847,7.86,-3.128,0.0,4.6,1.699,181,car,-7.86,-0.108,0.174,0.007,7.86,-0.001,-0.174,-0.005
462.6,12.818,36.738,4.349,-1.125,0.095,1.684,0.881,180,motorcycle,1.879,-3.922,1.659,0.904,4.346,0.154,-0.165,1.882,50.945,19.846,7.814,-3.128,0.0,4.6,1.699,181,car,-7.813,-0.107,0.306,0.008,7.814,-0.001,-0.306,-0.004
462.7,13.043,36.355,4.344,-1.107,0.1025,1.684,0.881,180,motorcycle,1.996,-3.858,1.41,0.77,4.34,0.197,-0.109,1.603,50.156,19.848,7.747,-3.128,0.0,4.6,1.699,181,car,-7.746,-0.106,0.455,0.01,7.747,-0.001,-0.455,-0.003
462.8,13.272,35.978,4.34,-1.09,0.1071,1.684,0.881,180,motorcycle,2.08,-3.808,1.157,0.648,4.334,0.214,-0.08,1.324,49.376,19.852,7.662,-3.128,0.0,4.6,1.699,181,car,-7.661,-0.105,0.612,0.011,7.662,-0.001,-0.612,-0.003
462.9,13.505,35.602,4.332,-1.072,0.109,1.684,0.881,180,motorcycle,2.143,-3.765,0.934,0.56,4.327,0.213,-0.078,1.086,48.604,19.86,7.56,-3.128,0.0,4.6,1.699,181,car,-7.559,-0.103,0.768,0.013,7.56,-0.001,-0.768,-0.002
463.0,13.74,35.23,4.318,-1.055,0.1083,1.684,0.881,180,motorcycle,2.191,-3.721,0.755,0.511,4.314,0.201,-0.099,0.906,47.842,19.87,7.444,-3.128,0.0,4.6,1.699,181,car,-7.443,-0.101,0.92,0.014,7.444,-0.001,-0.92,-0.002
463.1,13.979,34.862,4.298,-1.037,0.1049,1.684,0.881,180,motorcycle,2.23,-3.674,0.615,0.494,4.294,0.183,-0.137,0.777,47.095,19.881,7.315,-3.128,0.0,4.6,1.699,181,car,-7.314,-0.1,1.061,0.016,7.315,-0.001,-1.061,-0.002
463.2,14.22,34.501,4.271,-1.019,0.0992,1.684,0.881,180,motorcycle,2.262,-3.623,0.502,0.501,4.268,0.161,-0.185,0.685,46.363,19.895,7.175,-3.128,0.0,4.6,1.699,181,car,-7.175,-0.098,1.189,0.018,7.175,-0.001,-1.189,-0.001
463.3,14.465,34.146,4.237,-1.002,0.0913,1.684,0.881,180,motorcycle,2.287,-3.567,0.404,0.523,4.235,0.135,-0.242,0.615,45.645,19.909,7.028,-3.128,0.0,4.6,1.699,181,car,-7.027,-0.096,1.298,0.019,7.028,-0.001,-1.298,-0.001
463.4,14.713,33.795,4.195,-0.986,0.0817,1.684,0.881,180,motorcycle,2.302,-3.507,0.304,0.554,4.193,0.104,-0.31,0.551,44.944,19.925,6.875,-3.128,0.0,4.6,1.699,181,car,-6.875,-0.093,1.386,0.02,6.875,-0.001,-1.387,-0.001
463.5,14.965,33.451,4.142,-0.975,0.0711,1.684,0.881,180,motorcycle,2.303,-3.443,0.191,0.585,4.142,0.068,-0.388,0.477,44.259,19.942,6.72,-3.128,0.0,4.6,1.699,181,car,-6.719,-0.091,1.452,0.02,6.72,-0.001,-1.452,-0.001
463.6,15.216,33.116,4.082,-0.974,0.0601,1.684,0.881,180,motorcycle,2.289,-3.38,0.064,0.605,4.082,0.036,-0.468,0.388,43.59,19.96,6.564,-3.128,0.0,4.6,1.699,181,car,-6.563,-0.089,1.494,0.021,6.564,-0.0,-1.494,-0.001
463.7,15.459,32.794,4.02,-0.978,0.0494,1.684,0.881,180,motorcycle,2.266,-3.321,-0.05,0.599,4.02,0.035,-0.526,0.291,42.937,19.981,6.41,-3.128,0.0,4.6,1.699,181,car,-6.409,-0.087,1.511,0.021,6.41,-0.0,-1.511,-0.0
463.8,15.695,32.473,3.962,-0.98,0.0388,1.684,0.881,180,motorcycle,2.24,-3.268,-0.131,0.571,3.962,0.042,-0.547,0.209,42.299,20.004,6.26,-3.128,0.0,4.6,1.699,181,car,-6.26,-0.085,1.504,0.021,6.26,-0.0,-1.504,-0.0
463.9,15.926,32.152,3.907,-0.98,0.0284,1.684,0.881,180,motorcycle,2.215,-3.219,-0.179,0.541,3.907,0.05,-0.549,0.152,41.679,20.026,6.118,-3.128,0.0,4.6,1.699,181,car,-6.117,-0.083,1.471,0.02,6.118,-0.0,-1.471,0.0
464.0,16.154,31.834,3.854,-0.976,0.0175,1.684,0.881,180,motorcycle,2.192,-3.17,-0.195,0.519,3.854,0.06,-0.54,0.126,41.074,20.049,5.985,-3.128,-0.0023,4.6,1.699,181,car,-5.985,-0.081,1.414,0.019,5.985,-0.0,-1.414,0.0
464.1,16.378,31.518,3.804,-0.965,0.0056,1.684,0.881,180,motorcycle,2.175,-3.121,-0.187,0.508,3.803,0.066,-0.526,0.128,40.482,20.071,5.864,-3.128,-0.003,4.6,1.699,181,car,-5.863,-0.08,1.338,0.018,5.864,-0.0,-1.338,0.0
464.2,16.598,31.208,3.757,-0.946,-0.008,1.684,0.881,180,motorcycle,2.161,-3.074,-0.169,0.494,3.757,0.052,-0.503,0.138,39.898,20.093,5.752,-3.128,-0.0038,4.6,1.699,181,car,-5.752,-0.078,1.25,0.017,5.752,-0.0,-1.25,0.0
464.3,16.815,30.904,3.717,-0.941,-0.023,1.684,0.881,180,motorcycle,2.145,-3.036,-0.164,0.448,3.717,-0.007,-0.461,0.125,39.325,20.114,5.651,-3.128,-0.0048,4.6,1.699,181,car,-5.651,-0.077,1.157,0.015,5.651,-0.0,-1.157,0.0
464.4,17.036,30.608,3.689,-0.949,-0.039,1.684,0.881,180,motorcycle,2.127,-3.014,-0.172,0.36,3.689,-0.032,-0.393,0.07,38.76,20.136,5.559,-3.128,-0.0062,4.6,1.699,181,car,-5.559,-0.076,1.064,0.014,5.559,-0.0,-1.065,0.0
464.5,17.249,30.311,3.675,-0.961,-0.0555,1.684,0.881,180,motorcycle,2.108,-3.01,-0.176,0.238,3.674,-0.037,-0.296,-0.005,38.207,20.157,5.475,-3.128,-0.0078,4.6,1.699,181,car,-5.475,-0.074,0.976,0.013,5.475,-0.0,-0.976,0.0
464.6,17.463,30.001,3.677,-0.966,-0.0723,1.684,0.881,180,motorcycle,2.094,-3.022,-0.162,0.097,3.677,-0.025,-0.173,-0.077,37.657,20.178,5.398,-3.128,-0.0099,4.6,1.699,181,car,-5.397,-0.073,0.899,0.012,5.398,-0.001,-0.899,0.0
464.7,17.663,29.687,3.683,-0.968,-0.0893,1.684,0.881,180,motorcycle,2.078,-3.041,-0.164,-0.015,3.683,-0.036,-0.082,-0.143,37.114,20.199,5.323,-3.128,-0.0126,4.6,1.699,181,car,-5.323,-0.072,0.838,0.011,5.323,-0.001,-0.838,0.0
464.8,17.865,29.368,3.691,-0.975,-0.1064,1.684,0.881,180,motorcycle,2.055,-3.066,-0.189,-0.106,3.69,-0.062,-0.021,-0.216,36.577,20.219,5.25,-3.128,-0.0159,4.6,1.699,181,car,-5.249,-0.071,0.798,0.011,5.25,-0.001,-0.798,-0.0
464.9,18.067,29.042,3.695,-0.99,-0.1229,1.684,0.881,180,motorcycle,2.021,-3.094,-0.247,-0.172,3.694,-0.09,0.001,-0.301,36.045,20.238,5.175,-3.128,-0.02,4.6,1.699,181,car,-5.175,-0.07,0.777,0.011,5.175,-0.001,-0.777,-0.001
465.0,18.264,28.717,3.689,-1.007,-0.1384,1.684,0.881,180,motorcycle,1.972,-3.118,-0.34,-0.197,3.688,-0.099,-0.026,-0.392,35.523,20.256,5.099,-3.128,-0.0251,4.6,1.699,181,car,-5.099,-0.069,0.77,0.012,5.099,-0.001,-0.77,-0.002
465.1,18.455,28.381,3.67,-1.023,-0.1524,1.684,0.881,180,motorcycle,1.908,-3.134,-0.456,-0.187,3.668,-0.111,-0.092,-0.484,35.012,20.273,5.023,-3.128,-0.0313,4.6,1.699,181,car,-5.022,-0.067,0.769,0.014,5.023,-0.002,-0.769,-0.003
465.2,18.632,28.053,3.631,-1.048,-0.1642,1.684,0.881,180,motorcycle,1.825,-3.139,-0.602,-0.131,3.628,-0.139,-0.211,-0.579,34.51,20.29,4.947,-3.128,-0.039,4.6,1.699,181,car,-4.946,-0.065,0.764,0.016,4.947,-0.003,-0.764,-0.005
465.3,18.801,27.731,3.573,-1.074,-0.1733,1.684,0.881,180,motorcycle,1.725,-3.129,-0.757,-0.041,3.57,-0.136,-0.355,-0.669,34.018,20.307,4.874,-3.128,-0.0482,4.6,1.699,181,car,-4.873,-0.063,0.751,0.02,4.874,-0.004,-0.752,-0.009
465.4,18.956,27.409,3.504,-1.101,-0.1793,1.684,0.881,180,motorcycle,1.614,-3.11,-0.891,0.048,3.501,-0.147,-0.485,-0.749,33.535,20.324,4.804,-3.128,-0.0593,4.6,1.699,181,car,-4.804,-0.059,0.729,0.026,4.804,-0.007,-0.729,-0.016
465.5,19.104,27.092,3.43,-1.134,-0.182,1.684,0.881,180,motorcycle,1.498,-3.086,-0.996,0.123,3.427,-0.157,-0.583,-0.816,33.056,20.341,4.738,-3.128,-0.0724,4.6,1.699,181,car,-4.738,-0.054,0.701,0.036,4.738,-0.012,-0.701,-0.027
465.6,19.241,26.784,3.353,-1.166,-0.1813,1.684,0.881,180,motorcycle,1.382,-3.055,-1.062,0.193,3.35,-0.143,-0.65,-0.861,32.584,20.356,4.676,-3.128,-0.0876,4.6,1.699,181,car,-4.675,-0.046,0.671,0.054,4.676,-0.019,-0.672,-0.045
465.7,19.369,26.472,3.28,-1.187,-0.1779,1.684,0.881,180,motorcycle,1.272,-3.024,-1.073,0.242,3.278,-0.128,-0.673,-0.869,32.118,20.368,4.614,-3.128,-0.1049,4.6,1.699,181,car,-4.614,-0.032,0.649,0.084,4.614,-0.031,-0.65,-0.075
465.8,19.48,26.176,3.213,-1.203,-0.1721,1.684,0.881,180,motorcycle,1.172,-2.992,-1.044,0.272,3.21,-0.136,-0.671,-0.845,31.655,20.38,4.549,-3.128,-0.124,4.6,1.699,181,car,-4.549,-0.011,0.651,0.134,4.548,-0.052,-0.652,-0.125
465.9,19.586,25.882,3.159,-1.223,-0.1642,1.684,0.881,180,motorcycle,1.083,-2.968,-0.985,0.258,3.156,-0.147,-0.619,-0.809,31.195,20.388,4.471,-3.128,-0.1443,4.6,1.699,181,car,-4.47,0.024,0.701,0.218,4.47,-0.086,-0.704,-0.208
466.0,19.687,25.59,3.118,-1.244,-0.1543,1.684,0.881,180,motorcycle,1.003,-2.952,-0.913,0.219,3.114,-0.153,-0.54,-0.769,30.736,20.391,4.365,-3.128,-0.1642,4.6,1.699,181,car,-4.364,0.082,0.842,0.358,4.362,-0.142,-0.846,-0.346
466.1,19.783,25.3,3.084,-1.258,-0.1421,1.684,0.881,180,motorcycle,0.93,-2.941,-0.84,0.178,3.081,-0.148,-0.459,-0.726,30.398,20.504,4.206,3.074,-0.1814,4.6,1.699,181,car,-4.203,0.178,1.141,0.592,4.204,-0.142,-1.136,-0.602
466.2,19.865,25.028,3.063,-1.278,-0.1274,1.684,0.881,180,motorcycle,0.864,-2.938,-0.773,0.118,3.058,-0.17,-0.37,-0.689,29.994,20.545,4.07,3.044,-0.1947,4.6,1.699,181,car,-4.06,0.283,1.25,0.771,4.067,-0.149,-1.224,-0.812
